Author,Title,Year,Format,Source
"Dirk Werner,""How to Recognize Cults: A Guide to Protecting Yourself from Manipulation and Control"",2025,Audiobook,Apple Books"
"Dirk Werner,""Self-Love Over Perfection: A Guide to Overcoming Female Narcissism"",2025,Audiobook,Apple Books"
"Dirk Werner,""The Battle Within: A Guide to Overcoming Inner Struggles"",2025,Audiobook,Apple Books"
"Dirk Werner,""The Simulation Chronicles"",2025,Audiobook,Apple Books"
"Dirk Werner,""American Shadows: Hecate's Intervention - The Unofficial Sequel to American Gods"",2025,Audiobook,Apple Books"
"Dirk Werner,""Instructions for Staying in the Matrix Forever"",2025,Audiobook,Apple Books"
"Dirk Werner,""The Legacy of the Lodges: Dr. Seelmanns 3rd case"",2025,Audiobook,Apple Books"
"Dirk Werner,""Nanogenesis: The Rise of Superhumans"",2025,Audiobook,Apple Books"
"Dirk Werner,""Deadly Echo: Dr. Seelmann's Second Case"",2025,Audiobook,Apple Books"
"Dirk Werner,""The Key of the Enlightened"",2025,Audiobook,Apple Books"
